江西电信频道,#genre#
江苏卫视,http://115.153.232.67/PLTV/88888888/224/3221225766/10000100000000060000000000913517_0.smil/index.m3u8?fmt=ts2hls
江苏卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221225766/10000100000000060000000000913517_0.smil
河北卫视,http://115.153.232.67/PLTV/88888888/224/3221226821/59781859.smil/index.m3u8?fmt=ts2hls
河北卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226821/59781859.smil
河南卫视,http://115.153.232.67/PLTV/88888888/224/3221226842/59814787.smil/index.m3u8?fmt=ts2hls
河南卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226842/59814787.smil
浙江卫视,http://115.153.232.67/PLTV/88888888/224/3221225768/10000100000000060000000000913518_0.smil/index.m3u8?fmt=ts2hls
浙江卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221225768/10000100000000060000000000913518_0.smil
海南卫视,http://115.153.232.67/PLTV/88888888/224/3221226933/70442779.smil/index.m3u8?fmt=ts2hls
海南卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226933/70442779.smil
深圳卫视,http://115.153.232.67/PLTV/88888888/224/3221225764/10000100000000060000000000913503_0.smil/index.m3u8?fmt=ts2hls
深圳卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221225764/10000100000000060000000000913503_0.smil
湖北卫视,http://115.153.232.67/PLTV/88888888/224/3221225827/10000100000000060000000000470332_2.smil/index.m3u8?fmt=ts2hls
湖北卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221225827/10000100000000060000000000470332_2.smil
湖南卫视,http://115.153.232.67/PLTV/88888888/224/3221225697/iptv8039.smil/index.m3u8?fmt=ts2hls
湖南卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221225697/iptv8039.smil
甘肃卫视,http://115.153.232.67/PLTV/88888888/224/3221227039/87447727.smil/index.m3u8?fmt=ts2hls
甘肃卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221227039/87447727.smil
贵州卫视,http://115.153.232.67/PLTV/88888888/224/3221226833/59814738.smil/index.m3u8?fmt=ts2hls
贵州卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226833/59814738.smil
辽宁卫视,http://115.153.232.67/PLTV/88888888/224/3221226649/46098370.smil/index.m3u8?fmt=ts2hls
辽宁卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226649/46098370.smil
重庆卫视,http://115.153.232.67/PLTV/88888888/224/3221226638/51813388.smil/index.m3u8?fmt=ts2hls
重庆卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226638/51813388.smil
黑龙江卫视,http://115.153.232.67/PLTV/88888888/224/3221225584/10000100000000060000000000031778_0.smil/index.m3u8?fmt=ts2hls
黑龙江卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221225584/10000100000000060000000000031778_0.smil
西藏卫视,http://115.153.232.67/PLTV/88888888/224/3221227276/123649585.smil/index.m3u8?fmt=ts2hls
西藏卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221227276/123649585.smil
